,fibonacci,lucky
0,0,1
1,1,3
2,1,7
3,2,9
4,3,13
5,5,15
6,8,19
7,13,21
8,21,25
9,34,27
10,55,31
11,89,33
12,144,37
13,233,39
14,377,43
15,610,45
16,987,49
17,1597,51
18,2584,55
19,4181,57
20,6765,61
21,10946,63
22,17711,67
23,28657,69
24,46368,73
25,75025,75
26,121393,79
27,196418,81
28,317811,85
29,514229,87
30,832040,91
31,1346269,93
32,2178309,97
33,3524578,99
34,5702887,103
35,9227465,105
36,14930352,109
37,24157817,111
38,39088169,115
39,63245986,117
40,102334155,121
41,165580141,123
42,267914296,127
43,433494437,129
44,701408733,133
45,1134903170,135
46,1836311903,139
47,2971215073,141
48,4807526976,145
49,7778742049,147
50,12586269025,151
51,20365011074,153
52,32951280099,157
53,53316291173,159
54,86267571272,163
55,1.39584E+11,165
56,2.25851E+11,169
57,3.65435E+11,171
58,5.91287E+11,175
59,9.56722E+11,177
60,1.54801E+12,181
61,2.50473E+12,183
62,4.05274E+12,187
63,6.55747E+12,189
64,1.06102E+13,193
65,1.71677E+13,195
66,2.77779E+13,199
67,4.49456E+13,201
68,7.27235E+13,205
69,1.17669E+14,207
70,1.90392E+14,211
71,3.08062E+14,213
72,4.98454E+14,217
73,8.06516E+14,219
74,1.30497E+15,223
75,2.11149E+15,225
76,3.41645E+15,229
77,5.52794E+15,231
78,8.94439E+15,235
79,1.44723E+16,237
80,2.34167E+16,241
81,3.78891E+16,243
82,6.13058E+16,247
83,9.91949E+16,249
84,1.60501E+17,253
85,2.59695E+17,255
86,4.20196E+17,259
87,6.79892E+17,261
88,1.10009E+18,265
89,1.77998E+18,267
90,2.88007E+18,271
91,4.66005E+18,273
92,7.54011E+18,277
93,1.22002E+19,279
94,1.97403E+19,283
95,3.19404E+19,285
96,5.16807E+19,289
97,8.36211E+19,291
98,1.35302E+20,295
99,2.18923E+20,297
100,3.54225E+20,301
101,5.73148E+20,303
102,9.27373E+20,307
103,1.50052E+21,309
104,2.42789E+21,313
105,3.92841E+21,315
106,6.35631E+21,319
107,1.02847E+22,321
108,1.6641E+22,325
109,2.69257E+22,327
110,4.35668E+22,331
111,7.04925E+22,333
112,1.14059E+23,337
113,1.84552E+23,339
114,2.98611E+23,343
115,4.83163E+23,345
116,7.81774E+23,349
117,1.26494E+24,351
118,2.04671E+24,355
119,3.31165E+24,357
120,5.35836E+24,361
121,8.67001E+24,363
122,1.40284E+25,367
123,2.26984E+25,369
124,3.67267E+25,373
125,5.94251E+25,375
126,9.61519E+25,379
127,1.55577E+26,381
128,2.51729E+26,385
129,4.07306E+26,387
130,6.59035E+26,391
131,1.06634E+27,393
132,1.72538E+27,397
133,2.79172E+27,399
134,4.51709E+27,403
135,7.30881E+27,405
136,1.18259E+28,409
137,1.91347E+28,411
138,3.09606E+28,415
139,5.00953E+28,417
140,8.10559E+28,421
141,1.31151E+29,423
142,2.12207E+29,427
143,3.43358E+29,429
144,5.55565E+29,433
145,8.98924E+29,435
146,1.45449E+30,439
147,2.35341E+30,441
148,3.8079E+30,445
149,6.16131E+30,447
150,9.96922E+30,451
151,1.61305E+31,453
152,2.60997E+31,457
153,4.22303E+31,459
154,6.833E+31,463
155,1.1056E+32,465
156,1.7889E+32,469
157,2.89451E+32,471
158,4.68341E+32,475
159,7.57792E+32,477
160,1.22613E+33,481
161,1.98392E+33,483
162,3.21006E+33,487
163,5.19398E+33,489
164,8.40404E+33,493
165,1.3598E+34,495
166,2.20021E+34,499
167,3.56001E+34,501
168,5.76021E+34,505
169,9.32022E+34,507
170,1.50804E+35,511
171,2.44007E+35,513
172,3.95E+35,517
173,6.38817E+35,519
174,1.03363E+36,523
175,1.67245E+36,525
176,2.70607E+36,529
177,4.37852E+36,531
178,7.08459E+36,535
179,1.14631E+37,537
180,1.85477E+37,541
181,3.00108E+37,543
182,4.85585E+37,547
183,7.85694E+37,549
184,1.27128E+38,553
185,2.05697E+38,555
186,3.32825E+38,559
187,5.38522E+38,561
188,8.71347E+38,565
189,1.40987E+39,567
190,2.28122E+39,571
191,3.69109E+39,573
192,5.9723E+39,577
193,9.66339E+39,579
194,1.56357E+40,583
195,2.52991E+40,585
196,4.09348E+40,589
197,6.62339E+40,591
198,1.07169E+41,595
199,1.73403E+41,597
200,2.80571E+41,601
201,4.53974E+41,603
202,7.34545E+41,607
203,1.18852E+42,609
204,1.92306E+42,613
205,3.11158E+42,615
206,5.03465E+42,619
207,8.14623E+42,621
208,1.31809E+43,625
209,2.13271E+43,627
210,3.4508E+43,631
211,5.58351E+43,633
212,9.0343E+43,637
213,1.46178E+44,639
214,2.36521E+44,643
215,3.82699E+44,645
216,6.1922E+44,649
217,1.00192E+45,651
218,1.62114E+45,655
219,2.62306E+45,657
220,4.2442E+45,661
221,6.86726E+45,663
222,1.11115E+46,667
223,1.79787E+46,669
224,2.90902E+46,673
225,4.70689E+46,675
226,7.61591E+46,679
227,1.23228E+47,681
228,1.99387E+47,685
229,3.22615E+47,687
230,5.22002E+47,691
231,8.44617E+47,693
232,1.36662E+48,697
233,2.21124E+48,699
234,3.57786E+48,703
235,5.78909E+48,705
236,9.36695E+48,709
237,1.5156E+49,711
238,2.4523E+49,715
239,3.9679E+49,717
240,6.4202E+49,721
241,1.03881E+50,723
242,1.68083E+50,727
243,2.71964E+50,729
244,4.40047E+50,733
245,7.12011E+50,735
246,1.15206E+51,739
247,1.86407E+51,741
248,3.01613E+51,745
249,4.8802E+51,747
250,7.89633E+51,751
251,1.27765E+52,753
252,2.06728E+52,757
253,3.34494E+52,759
254,5.41222E+52,763
255,8.75716E+52,765
256,1.41694E+53,769
257,2.29265E+53,771
258,3.70959E+53,775
259,6.00225E+53,777
260,9.71184E+53,781
261,1.57141E+54,783
262,2.54259E+54,787
263,4.114E+54,789
264,6.65659E+54,793
265,1.07706E+55,795
266,1.74272E+55,799
267,2.81978E+55,801
268,4.5625E+55,805
269,7.38228E+55,807
270,1.19448E+56,811
271,1.9327E+56,813
272,3.12718E+56,817
273,5.05989E+56,819
274,8.18707E+56,823
275,1.3247E+57,825
276,2.1434E+57,829
277,3.4681E+57,831
278,5.6115E+57,835
279,9.0796E+57,837
280,1.46911E+58,841
