,fibonacci,lucky
0,0,1
1,1,3
2,1,7
3,2,9
4,3,13
5,5,15
6,8,19
7,13,21
8,21,25
9,34,27
10,55,31
11,89,33
12,144,37
13,233,39
14,377,43
15,610,45
16,987,49
17,1597,51
18,2584,55
19,4181,57
20,6765,61
21,10946,63
22,17711,67
23,28657,69
24,46368,73
25,75025,75
26,121393,79
27,196418,81
28,317811,85
29,514229,87
30,832040,91
31,1346269,93
32,2178309,97
33,3524578,99
34,5702887,103
35,9227465,105
36,14930352,109
37,24157817,111
38,39088169,115
39,63245986,117
40,102334155,121
41,165580141,123
42,267914296,127
43,433494437,129
44,701408733,133
45,1134903170,135
46,1836311903,139
47,2971215073,141
48,4807526976,145
49,7778742049,147
50,12586269025,151
51,20365011074,153
52,32951280099,157
53,53316291173,159
54,86267571272,163
55,139583862445,165
56,225851433717,169
57,365435296162,171
58,591286729879,175
59,956722026041,177
60,1548008755920,181
61,2504730781961,183
62,4052739537881,187
63,6557470319842,189
64,10610209857723,193
65,17167680177565,195
66,27777890035288,199
67,44945570212853,201
68,72723460248141,205
69,117669030460994,207
70,190392490709135,211
71,308061521170129,213
72,498454011879264,217
73,806515533049393,219
74,1304969544928657,223
75,2111485077978050,225
76,3416454622906707,229
77,5527939700884757,231
78,8944394323791464,235
79,14472334024676221,237
80,23416728348467685,241
81,37889062373143906,243
82,61305790721611591,247
83,99194853094755497,249
84,160500643816367088,253
85,259695496911122585,255
86,420196140727489673,259
87,679891637638612258,261
88,1100087778366101931,265
89,1779979416004714189,267
90,2880067194370816120,271
91,4660046610375530309,273
92,7540113804746346429,277
93,12200160415121876738,279
94,19740274219868223167,283
95,31940434634990099905,285
96,51680708854858323072,289
97,83621143489848422977,291
98,135301852344706746049,295
99,218922995834555169026,297
