fib,lucky
0,1
1,3
1,7
2,9
3,13
5,15
8,19
13,21
21,25
34,27
55,31
89,33
144,37
233,39
377,43
610,45
987,49
1597,51
2584,55
4181,57
6765,61
10946,63
17711,67
28657,69
46368,73
75025,75
121393,79
196418,81
317811,85
514229,87
832040,91
1346269,93
2178309,97
3524578,99
5702887,103
9227465,105
14930352,109
24157817,111
39088169,115
63245986,117
102334155,121
165580141,123
267914296,127
433494437,129
701408733,133
1134903170,135
1836311903,139
2971215073,141
4807526976,145
7778742049,147
12586269025,151
20365011074,153
32951280099,157
53316291173,159
86267571272,163
139583862445,165
225851433717,169
365435296162,171
591286729879,175
956722026041,177
1548008755920,181
2504730781961,183
4052739537881,187
6557470319842,189
10610209857723,193
17167680177565,195
27777890035288,199
44945570212853,201
72723460248141,205
117669030460994,207
190392490709135,211
308061521170129,213
498454011879264,217
806515533049393,219
1304969544928657,223
2111485077978050,225
3416454622906707,229
5527939700884757,231
8944394323791464,235
14472334024676221,237
23416728348467685,241
37889062373143906,243
61305790721611591,247
99194853094755497,249
160500643816367088,253
259695496911122585,255
420196140727489673,259
679891637638612258,261
1100087778366101931,265
1779979416004714189,267
2880067194370816120,271
4660046610375530309,273
7540113804746346429,277
12200160415121876738,279
19740274219868223167,283
31940434634990099905,285
51680708854858323072,289
83621143489848422977,291
135301852344706746049,295
218922995834555169026,297
