,Protein,ENSG,UniProt,Source,Score,disease_id
0,LRRK2,ENSG00000188906,Q5S007,uniprot_swissprot,0.8787718111926911,MONDO_0005180
1,PRKN,ENSG00000185345,O60260,uniprot_swissprot,0.856333349443666,MONDO_0005180
2,ATP13A2,ENSG00000159363,Q9NQ11,uniprot_swissprot,0.8497155251278855,MONDO_0005180
3,PINK1,ENSG00000158828,Q9BXM7,uniprot_swissprot,0.8459020045342672,MONDO_0005180
4,SNCA,ENSG00000145335,P37840,uniprot_swissprot,0.8409943099586398,MONDO_0005180
5,PARK7,ENSG00000116288,Q99497,uniprot_swissprot,0.8052482206440649,MONDO_0005180
6,FBXO7,ENSG00000100225,Q9Y3I1,uniprot_swissprot,0.776068496906086,MONDO_0005180
7,DNAJC6,ENSG00000116675,O75061,uniprot_swissprot,0.767756357875161,MONDO_0005180
8,GIGYF2,ENSG00000204120,Q6Y7W6,uniprot_swissprot,0.7513768457037178,MONDO_0005180
9,PLA2G6,ENSG00000184381,O60733,uniprot_swissprot,0.7500302138684802,MONDO_0005180
10,VPS35,ENSG00000069329,Q96QK1,uniprot_swissprot,0.7489764645803612,MONDO_0005180
11,GBA1,ENSG00000177628,P04062,uniprot_swissprot,0.7327166732031648,MONDO_0005180
12,GRIN1,ENSG00000176884,Q05586,uniprot_swissprot,0.6938727540141311,MONDO_0005180
13,VPS13C,ENSG00000129003,Q709C8,uniprot_swissprot,0.6929885378159616,MONDO_0005180
14,CHRM1,ENSG00000168539,P11229,uniprot_swissprot,0.6660492549058603,MONDO_0005180
15,MAPT,ENSG00000186868,P10636,uniprot_swissprot,0.6617432385769236,MONDO_0005180
16,PSAP,ENSG00000197746,P07602,uniprot_swissprot,0.6382584885000283,MONDO_0005180
17,ADRA2B,ENSG00000274286,P18089,uniprot_swissprot,0.6354927226536258,MONDO_0005180
18,DRD2,ENSG00000149295,P14416,uniprot_swissprot,0.6293026389316807,MONDO_0005180
19,EIF4G1,ENSG00000114867,Q04637,uniprot_swissprot,0.6238382306248662,MONDO_0005180
20,DDC,ENSG00000132437,P20711,uniprot_swissprot,0.6214915119475024,MONDO_0005180
21,DRD3,ENSG00000151577,P35462,uniprot_swissprot,0.6114458116924927,MONDO_0005180
22,GRIN2A,ENSG00000183454,Q12879,uniprot_swissprot,0.6098387441305997,MONDO_0005180
